X;Y
7,084;7,959
-0,759;5,781
6,736;4,64
7,899;7,361
0,297;5,932
5,317;0,792
5,828;-0,4
4,547;-3,197
2,064;4,834
-1,121;3,308
7,697;8,974
0,882;5,352
-2,052;4,861
6,389;7,724
-1,697;3,313
-0,177;5,483
2,622;1,625
7,521;5,882
2,805;5,767
-0,511;2,783
1,85;-0,316
7,324;5,008
8,527;7,421
5,82;5,172
7,422;5,001
0,963;2,914
1,202;3,168
-2,051;6,94
1,29;7,331
3,084;0,217
1,062;2,272
2,288;0,638
10,971;6,19
3,766;-3,638
2,637;-2,959
5,723;6,296
2,794;0,92
3,955;-2,014
4,926;-0,776
1,202;5,289
4,133;1,88
0,04;5,766
2,759;-3,159
7,236;6,959
5,755;4,707
2,525;0,279
1,719;-2,192
9,066;5,267
5,638;0,448
6,344;0,323
2,154;-0,666
5,824;4,469
5,385;-0,46
6,043;6,007
-1,355;6,434
1,313;-0,033
0,721;5,916
1,386;0,086
-2,128;7,086
0,207;6,824
3,594;-3,157
2,616;3,85
7,236;3,985
3,03;-2,116
5,891;4,439
2,612;5,736
5,9;6,952
6,358;0,623
5,403;-2,461
3,354;1,605
7,494;6,177
-0,134;2,469
3,535;0,958
7,122;8,857
9,724;6,72
1,402;5,969
9,241;7,957
7,529;5,297
7,5;6,528
-0,04;3,12
2,426;6,736
-0,188;6,248
6,566;-1,95
1,182;6,343
9,218;5,669
1,165;6,422
7,26;4,799
-0,077;3,347
2,493;6,498
-0,11;3,613
6,397;6,364
7,939;4,059
2,754;0,87
5,516;-0,087
6,481;0,316
1,877;5,534
-0,901;3,627
2,466;4,605
8,439;8,3
6,699;8,37
1,458;4,582
-0,334;3,636
3,422;1,787
6,984;6,508
2,241;4,184
3,076;-3,378
3,035;0,943
6,6;4,075
3,793;-3,012
-2,405;4,586
4,66;0,647
1,071;3,303
6,686;-0,971
6,009;7,062
-1,526;6,409
1,778;-0,596
3,046;-1,008
5,42;-1,94
2,377;0,478
4,121;-0,475
-0,473;2,52
-1,145;5,802
2,446;4,907
5,919;6,165
8,398;4,677
-2,135;6,084
10,597;5,645
7,62;7,134
5,521;-0,733
6,569;0,186
1,383;3,594
-0,828;3,331
7,178;5,626
-0,204;7,863
7,386;5,905
5,359;7,104
5,313;5,459
-1,271;6,913
4,818;1,554
2,963;1,34
4,764;0,454
5,768;-3,152
7,639;4,553
1,152;5,519
1,655;-0,05
8,272;7,181
3,866;-3,848
1,538;6,072
3,782;0,326
0,691;2,156
5,529;7,316
6,867;6,831
5,893;7,73
0,389;2,387
3,356;0,339
2,207;4,639
