Country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Algeria,17.199,18.267,18.703,18.09,19.124,19.739,21.448,23.282,23.88952,25.03064,25.99154,27.80964,29.38706,31.9074,33.12352,34.9758,37.83582,36.206,42.9985,48.17578,53.9845,56.3134,60.39972,64.68244,66.75504,71.49546,72.10903,76.685,72.73591277,77.53072719
        Angola,1.283,1.332,1.342,1.347,1.377,1.331,1.52,1.3,1.40402,1.59074,1.71668,1.93776,2.18608,2.72998,3.24054,3.1488,4.06368,4.60554,5.31724,5.52336,6.03408,7.97606,9.21666,9.30914,10.203511,10.67604,12.83194,15.4,16.6,16.429392
        Benin,0.023,0.024,0.048,0.029,0.0487,0.0517,0.0597,0.0677,0.07908,0.06216,0.05934,0.07532,0.0762,0.10064,0.142,0.20498,0.21344,0.12038,0.10816,0.09594,0.04612,0.08848,0.22666,0.31056,0.26004,0.3115,0.19028,0.2017,0.22608,0.24109728
        Botswana,1.088,1.027,1.044,1.047,0.759,0.87,1.026,1.043,0.89018,0.9494,0.84224,0.68056,0.73978,0.81498,0.746,0.578,0.552,0.417,0.50008,0.44932,0.33,0.86868,2.17628,2.79104,2.52984,2.8438,2.97076,3.0469,2.05144,2.18234816
        Burkina Faso,0.19,0.205,0.206,0.232,0.263,0.282,0.312,0.348,0.318,0.327,0.36492,0.444662,0.472234,0.489468,0.519525,0.58152,0.589033,0.664416,0.6343,0.69348,0.86834,0.98268,1.11808,1.43986,1.5509,1.64602,1.6464,1.72552,1.647133174,1.761209666
        Burundi,0.106,0.11,0.116,0.119,0.118,0.121,0.111,0.099,0.1,0.116,0.128,0.102,0.092,0.097,0.094,0.118,0.113,0.122,0.1489,0.147,0.15,0.174,0.187,0.18,0.184,0.279,0.268878,0.355946,0.350520748,0.357991644
        Cabo Verde,0.057,0.066,0.075,0.078,0.083,0.088,0.096,0.11,0.138,0.155,0.171,0.187,0.206,0.222,0.236,0.253,0.27,0.281,0.325,0.346,0.359,0.385,0.408,0.401,0.423,0.459234,0.459059,0.463,0.433796156,0.45688711
        Cameroon,2.695,2.699,2.738,2.811,2.928,3.095,3.134,3.34,3.44372,3.50198,3.26092,3.63964,4.0596,3.95208,4.38974,5.0498,5.47968,5.57024,5.7036,5.73125,5.3116,6.15693,6.66283,7.69155,6.92157,7.8328,8.28183,8.35484,8.297891475,8.045474929
        Central African Republic,0.094,0.095,0.099,0.1,0.102,0.104,0.102,0.103,0.105,0.106,0.106,0.107,0.149,0.159,0.166,0.16,0.16,0.159,0.1591,0.1713,0.1744,0.1384,0.1694,0.1694,0.1704,0.1514,0.151,0.15094,0.151,0.151064
        Chad,0.079,0.081,0.08,0.084,0.085,0.085,0.086,0.086,0.086,0.094,0.101,0.108,0.115,0.121,0.122,0.121,0.141,0.172,0.188,0.19082,0.2299,0.26196,0.27794,0.2819,0.29466,0.29936,0.30664,0.30946,0.294781188,0.312431184
        Comoros,0.015,0.015,0.015,0.015,0.016,0.016,0.017,0.017,0.019,0.028,0.031,0.033,0.042,0.045,0.048,0.044,0.043,0.041,0.045,0.059,0.058,0.055,0.051,0.052,0.057,0.0864,0.092896,0.102296,0.13,0.13832
        Congo-Brazzaville,0.424,0.358,0.322,0.35,0.453,0.448,0.341,0.252,0.29294,0.331,0.392,0.39258,0.38998,0.42432,0.44414,0.39968,0.484,0.52346,0.7597,1.25498,1.64732,1.65502,1.68302,2.65874,2.8325,2.84734,2.975348,3.655103,3.83288,4.02026152
        Congo-Kinshasa,6.011,5.489,5.258,6.114,6.047,4.992,4.68,5.266,5.94182,5.9187,6.05652,6.10458,7.01452,7.32558,7.4638,7.77584,7.45124,7.7549,7.82184,7.81572,7.51856,8.15646,8.74334,8.83928,9.027,9.422095,10.473865,11.080814,11.952925,11.03964133
